key,value
title,Get In Touch
subtitle,We'd Love to Hear From You
description,"Have questions about our products or services? Our team is here to help. Reach out to us through any of the channels below and we'll get back to you within 24 hours."
email,info@adishrienterprises.com
salesEmail,sales@adishrienterprises.com
supportEmail,support@adishrienterprises.com
phone,+91 98765 43210
phoneAlternate,+91 98765 43211
whatsapp,+91 98765 43210
address,"Plot No. 123, Industrial Area Phase-2, MIDC, Andheri East, Mumbai, Maharashtra 400093, India"
mapUrl,https://maps.google.com/?q=Mumbai+MIDC+Industrial+Area
mapEmbedUrl,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3770.8267168154547!2d72.8776559!3d19.1197788!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMTnCsDA3JzExLjIiTiA3MsKwNTInMzkuNiJF!5e0!3m2!1sen!2sin!4v1234567890
workingHours,Monday - Saturday: 9:00 AM - 6:00 PM
workingHoursSunday,Sunday: Closed
workingHolidaysNote,"Closed on public holidays"
responseTime,Within 24 hours
facebook,https://facebook.com/adishrienterprises
instagram,https://instagram.com/adishrienterprises
linkedin,https://linkedin.com/company/adishrienterprises
twitter,https://twitter.com/adishrienter
youtube,https://youtube.com/@adishrienterprises
contactFormTitle,Send Us a Message
contactFormSubtitle,Fill out the form below and we'll get back to you soon
factoryAddress,"Factory: Plot No. 456, GIDC Industrial Estate, Vapi, Gujarat 396195"
registeredOffice,"Registered Office: 789, Business Tower, Nariman Point, Mumbai 400021"
gstNumber,27XXXXX1234X1Z5
cinNumber,U25209MH2008PTC123456
