key,value
title,About Adishri Enterprises
subtitle,Excellence in Plastic Packaging Since 2008
description,"With over 15 years of experience in manufacturing high-quality plastic bottles, we have established ourselves as a trusted name in the packaging industry. Our state-of-the-art facility in Mumbai produces premium HDPE and LDPE bottles that meet international quality standards. We serve pharmaceutical, food & beverage, cosmetics, and chemical industries with innovative packaging solutions."
aboutImage,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=800
missionTitle,Our Mission
missionDescription,"To provide superior quality plastic packaging solutions that exceed customer expectations while maintaining environmental responsibility and sustainable manufacturing practices. We are committed to innovation, quality, and customer satisfaction."
visionTitle,Our Vision
visionDescription,"To become India's most trusted and innovative plastic packaging manufacturer, recognized globally for quality, reliability, and customer-centric approach. We aim to lead the industry in sustainable packaging solutions."
stat1Value,15+
stat1Label,Years Experience
stat2Value,500+
stat2Label,Happy Clients
stat3Value,10M+
stat3Label,Bottles Produced
stat4Value,100%
stat4Label,Quality Assured
stat5Value,50+
stat5Label,Product Varieties
stat6Value,24/7
stat6Label,Customer Support
companyEstablished,2008
companyLocation,"Mumbai, Maharashtra, India"
certifications,"ISO 9001:2015, FDA Approved, Food Grade Certified"
